Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CuraPwdSelfhealTry,Chrome 129.0.0.0,,,05-10-2024 14:35:08,05-10-2024 14:35:29,21.123s,PASSED
,,,,,,,
Test Cases/TC2_CuraHealth_SelfHeal,Chrome 129.0.0.0,,,05-10-2024 14:35:09,05-10-2024 14:35:29,20.317s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,05-10-2024 14:35:09,05-10-2024 14:35:16,6.894s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,05-10-2024 14:35:16,05-10-2024 14:35:21,4.702s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 129.0.0.0,,,05-10-2024 14:35:21,05-10-2024 14:35:24,2.753s,PASSED
"username = findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username"")",Chrome 129.0.0.0,,,05-10-2024 14:35:24,05-10-2024 14:35:24,0.057s,PASSED
"setText(username, ""John Doe"")",Chrome 129.0.0.0,,,05-10-2024 14:35:24,05-10-2024 14:35:25,1.508s,PASSED
"verifyElementPresent(username, 5)",Chrome 129.0.0.0,,,05-10-2024 14:35:25,05-10-2024 14:35:26,0.462s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 129.0.0.0,,,05-10-2024 14:35:26,05-10-2024 14:35:27,1.100s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 129.0.0.0,,,05-10-2024 14:35:27,05-10-2024 14:35:28,1.463s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/textMake_Appointment""), 0)",Chrome 129.0.0.0,,,05-10-2024 14:35:28,05-10-2024 14:35:29,0.386s,PASSED
