Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tc49suite,Chrome 130.0.0.0,,,23-10-2024 23:26:38,23-10-2024 23:27:10,31.504s,PASSED
,,,,,,,
Test Cases/TC49,Chrome 130.0.0.0,,,23-10-2024 23:26:41,23-10-2024 23:27:10,28.889s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 23:26:42,23-10-2024 23:26:50,8.063s,PASSED
"navigateToUrl(""https://webdriveruniversity.com/index.html"")",Chrome 130.0.0.0,,,23-10-2024 23:26:50,23-10-2024 23:26:52,1.479s,PASSED
"click(findTestObject(""Object Repository/Page_WebDriverUniversity.com/a_API Testing in detail using Postman - Tes_e954f1""))",Chrome 130.0.0.0,,,23-10-2024 23:26:52,23-10-2024 23:27:02,10.233s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_API Testing in detail using Postman - _9221e6/h1_API Testing in detail using Postman - Te_3ef861""), 0)",Chrome 130.0.0.0,,,23-10-2024 23:27:02,23-10-2024 23:27:03,0.553s,PASSED
"click(findTestObject(""Object Repository/Page_API Testing in detail using Postman - _9221e6/a_Postman""))",Chrome 130.0.0.0,,,23-10-2024 23:27:03,23-10-2024 23:27:05,2.063s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Just a moment/h1_www.udemy.com""))",Chrome 130.0.0.0,,,23-10-2024 23:27:05,23-10-2024 23:27:07,2.105s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Just a moment/h1_www.udemy.com_1""), 0)",Chrome 130.0.0.0,,,23-10-2024 23:27:07,23-10-2024 23:27:10,3.094s,PASSED
