Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceTestSuite,Chrome 129.0.0.0,,,03-10-2024 22:52:36,03-10-2024 22:53:16,40.013s,PASSED
,,,,,,,
Test Cases/SauceLab/TC2_SauceLab_Variable - DD,Chrome 129.0.0.0,,,03-10-2024 22:52:37,03-10-2024 22:52:55,17.576s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,03-10-2024 22:52:39,03-10-2024 22:52:46,6.849s,PASSED
navigateToUrl(url),Chrome 129.0.0.0,,,03-10-2024 22:52:46,03-10-2024 22:52:48,2.107s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 129.0.0.0,,,03-10-2024 22:52:48,03-10-2024 22:52:51,2.598s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 129.0.0.0,,,03-10-2024 22:52:51,03-10-2024 22:52:52,1.074s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 129.0.0.0,,,03-10-2024 22:52:52,03-10-2024 22:52:53,0.791s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Sauce Labs Backpack""), ""Sauce Labs Backpack"")",Chrome 129.0.0.0,,,03-10-2024 22:52:53,03-10-2024 22:52:53,0.520s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 129.0.0.0,,,03-10-2024 22:52:53,03-10-2024 22:52:54,0.496s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_1""))",Chrome 129.0.0.0,,,03-10-2024 22:52:54,03-10-2024 22:52:54,0.627s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/div_Sauce Labs Backpack""), 0)",Chrome 129.0.0.0,,,03-10-2024 22:52:54,03-10-2024 22:52:55,0.527s,PASSED
,,,,,,,
Test Cases/SauceLab/TC2_SauceLab_Variable - DD,Chrome 129.0.0.0,,,03-10-2024 22:52:55,03-10-2024 22:53:16,21.346s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,03-10-2024 22:52:55,03-10-2024 22:53:01,5.784s,PASSED
navigateToUrl(url),Chrome 129.0.0.0,,,03-10-2024 22:53:01,03-10-2024 22:53:03,2.017s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 129.0.0.0,,,03-10-2024 22:53:03,03-10-2024 22:53:05,2.285s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 129.0.0.0,,,03-10-2024 22:53:05,03-10-2024 22:53:06,0.849s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 129.0.0.0,,,03-10-2024 22:53:06,03-10-2024 22:53:12,5.635s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Sauce Labs Backpack""), ""Sauce Labs Backpack"")",Chrome 129.0.0.0,,,03-10-2024 22:53:12,03-10-2024 22:53:13,0.960s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 129.0.0.0,,,03-10-2024 22:53:13,03-10-2024 22:53:13,0.475s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_1""))",Chrome 129.0.0.0,,,03-10-2024 22:53:13,03-10-2024 22:53:14,0.925s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/div_Sauce Labs Backpack""), 0)",Chrome 129.0.0.0,,,03-10-2024 22:53:14,03-10-2024 22:53:16,2.107s,PASSED
