Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tc43suite,Chrome 130.0.0.0,,,23-10-2024 00:20:51,23-10-2024 00:21:42,50.353s,PASSED
,,,,,,,
Test Cases/tc46,Chrome 130.0.0.0,,,23-10-2024 00:20:53,23-10-2024 00:21:42,48.928s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 00:20:56,23-10-2024 00:21:27,31.455s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 130.0.0.0,,,23-10-2024 00:21:27,23-10-2024 00:21:30,2.984s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img""))",Chrome 130.0.0.0,,,23-10-2024 00:21:30,23-10-2024 00:21:32,2.462s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 130.0.0.0,,,23-10-2024 00:21:32,23-10-2024 00:21:33,1.051s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Chrome 130.0.0.0,,,23-10-2024 00:21:33,23-10-2024 00:21:35,1.356s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 130.0.0.0,,,23-10-2024 00:21:35,23-10-2024 00:21:36,1.551s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img_1""))",Chrome 130.0.0.0,,,23-10-2024 00:21:36,23-10-2024 00:21:38,1.253s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_K9-DL-01""))",Chrome 130.0.0.0,,,23-10-2024 00:21:38,23-10-2024 00:21:40,2.124s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_EST-10""))",Chrome 130.0.0.0,,,23-10-2024 00:21:40,23-10-2024 00:21:41,1.266s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_JPetStore Demo/font_Spotted Adult Female  Dalmation""), 0)",Chrome 130.0.0.0,,,23-10-2024 00:21:41,23-10-2024 00:21:42,0.554s,PASSED
