Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tc48suite,Chrome 130.0.0.0,,,23-10-2024 23:53:40,23-10-2024 23:54:01,20.710s,PASSED
,,,,,,,
Test Cases/tc47,Chrome 130.0.0.0,,,23-10-2024 23:53:43,23-10-2024 23:54:01,17.463s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 23:53:45,23-10-2024 23:53:53,8.484s,PASSED
"navigateToUrl(""https://automationbookstore.dev/"")",Chrome 130.0.0.0,,,23-10-2024 23:53:53,23-10-2024 23:53:57,3.816s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Bookstore/body_Automation BookstoreClear textAB Testi_7150f6""))",Chrome 130.0.0.0,,,23-10-2024 23:53:57,23-10-2024 23:53:58,1.377s,PASSED
"setText(findTestObject(""Object Repository/Page_Automation Bookstore/input_Automation Bookstore_searchBar""), ""agile te"")",Chrome 130.0.0.0,,,23-10-2024 23:53:58,23-10-2024 23:54:00,1.868s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Automation Bookstore/h2_Agile Testing""), 0)",Chrome 130.0.0.0,,,23-10-2024 23:54:00,23-10-2024 23:54:01,0.536s,PASSED
