Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CuraPwdSelfhealTry,Chrome 130.0.0.0,,,23-10-2024 22:33:53,23-10-2024 22:34:16,22.879s,PASSED
,,,,,,,
Test Cases/TC2_CuraHealth_SelfHeal,Chrome 130.0.0.0,,,23-10-2024 22:33:54,23-10-2024 22:34:16,21.926s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 22:33:56,23-10-2024 22:34:04,8.023s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 130.0.0.0,,,23-10-2024 22:34:04,23-10-2024 22:34:08,4.551s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 130.0.0.0,,,23-10-2024 22:34:08,23-10-2024 22:34:10,2.124s,PASSED
"username = findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username"")",Chrome 130.0.0.0,,,23-10-2024 22:34:10,23-10-2024 22:34:10,0.053s,PASSED
"setText(username, ""John Doe"")",Chrome 130.0.0.0,,,23-10-2024 22:34:10,23-10-2024 22:34:12,1.759s,PASSED
"verifyElementPresent(username, 5)",Chrome 130.0.0.0,,,23-10-2024 22:34:12,23-10-2024 22:34:13,0.491s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 130.0.0.0,,,23-10-2024 22:34:13,23-10-2024 22:34:14,1.325s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 130.0.0.0,,,23-10-2024 22:34:14,23-10-2024 22:34:16,1.666s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/textMake_Appointment""), 0)",Chrome 130.0.0.0,,,23-10-2024 22:34:16,23-10-2024 22:34:16,0.716s,PASSED
