Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite9,Chrome 130.0.0.0,,,23-10-2024 23:48:14,23-10-2024 23:48:47,32.702s,PASSED
,,,,,,,
Test Cases/KW9TC,Chrome 130.0.0.0,,,23-10-2024 23:48:17,23-10-2024 23:48:47,29.784s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,23-10-2024 23:48:18,23-10-2024 23:48:25,7.171s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 130.0.0.0,,,23-10-2024 23:48:25,23-10-2024 23:48:37,11.270s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/p_Forgot your password""))",Chrome 130.0.0.0,,,23-10-2024 23:48:37,23-10-2024 23:48:41,4.512s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""test"")",Chrome 130.0.0.0,,,23-10-2024 23:48:41,23-10-2024 23:48:42,1.411s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Reset Password""))",Chrome 130.0.0.0,,,23-10-2024 23:48:42,23-10-2024 23:48:45,2.057s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/h6_Reset Password link sent successfully""), 0)",Chrome 130.0.0.0,,,23-10-2024 23:48:45,23-10-2024 23:48:46,1.045s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/p_If the email does not arrive, please cont_a09402""), 0)",Chrome 130.0.0.0,,,23-10-2024 23:48:46,23-10-2024 23:48:47,0.936s,PASSED
com.test.pack1.KW9.verifyele(),Chrome 130.0.0.0,,,23-10-2024 23:48:47,23-10-2024 23:48:47,0.081s,PASSED
